週,アウフヘーベン,インスタ映え,うつヌケ,うんこ漢字ドリル,炎上,AIスピーカー,10秒の壁,共謀罪,GINZA SIX,空前絶後の,けものフレンズ,35億,Jアラート,人生100年時代,睡眠負債,線状降水帯,忖度,違うだろ,刀剣乱舞,働き方改革,ハンドスピナー,ひふみん,フェイクニュース,藤井四段,プレミアムフライデー,ポスト真実,魔の2回生,ファースト,ユーチューバー,ワンオペ育児,魔の2回生,ファースト,ユーチューバー
2017/1/1,0,0,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0,0,35,1,0,0,0,0,2,0,0,22,11,0,0,22,11
2017/1/8,0,0,0,0,9,0,0,1,0,2,3,0,0,0,0,0,1,0,32,1,0,0,0,0,2,0,0,23,10,0,0,22,10
2017/1/15,0,0,0,0,12,0,0,1,0,2,2,0,0,0,0,0,0,0,37,1,0,1,0,0,2,0,0,23,10,0,0,23,10
2017/1/22,0,0,0,0,9,0,0,1,0,1,2,1,0,0,0,0,0,0,30,1,0,1,0,0,6,0,0,23,8,0,0,24,8
2017/1/29,0,0,0,0,6,0,0,1,0,1,4,0,0,0,0,0,0,0,31,1,0,0,0,0,5,0,0,23,10,0,0,23,9
2017/2/5,0,0,0,0,8,0,0,1,0,1,42,0,0,0,0,0,0,0,26,1,0,0,1,0,5,0,0,25,8,0,0,24,8
2017/2/12,0,0,0,0,7,0,0,1,0,1,53,4,0,0,0,0,0,0,23,1,0,0,0,0,14,0,0,24,8,0,0,24,8
2017/2/19,0,0,0,0,6,0,0,1,0,1,47,2,0,0,0,0,0,0,25,1,0,0,0,0,100,0,0,24,8,0,0,25,7
2017/2/26,0,0,0,0,7,0,0,1,0,1,37,2,0,0,0,0,0,0,25,1,0,0,0,0,11,0,0,24,7,0,0,24,7
2017/3/5,0,0,0,0,8,0,0,1,0,1,31,1,0,0,0,0,3,0,28,1,0,0,0,0,3,0,0,24,8,0,0,23,8
2017/3/12,0,0,0,0,7,0,0,1,0,1,34,1,0,0,0,0,5,0,25,1,0,0,0,0,3,0,0,22,8,0,0,23,8
2017/3/19,0,0,0,0,9,0,0,2,0,1,57,1,0,0,0,0,31,0,27,1,0,0,0,0,4,0,0,23,10,0,0,23,10
2017/3/26,0,0,0,0,9,0,0,1,0,1,91,2,0,0,0,0,36,0,24,2,2,0,0,0,13,0,0,23,10,0,0,22,9
2017/4/2,0,0,0,0,6,0,0,2,0,1,51,1,0,0,0,0,17,0,23,2,1,0,0,0,2,0,0,24,13,0,0,23,13
2017/4/9,0,0,0,0,7,0,0,1,1,0,41,1,7,0,0,0,6,0,21,2,2,0,0,0,1,0,0,23,12,0,0,23,12
2017/4/16,0,1,1,0,7,0,0,2,6,1,34,1,9,0,0,0,10,0,20,2,1,0,0,0,2,0,0,24,9,0,0,24,9
