ìsìπï{åß	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81
ñkäCìπ	"2,148,210"	"2,320,620"	"1,832,380"	"1,270,010"	"1,961,190"	"2,249,470"	"2,870,520"	"3,401,610"	"2,888,690"	"2,558,220"	"1,805,360"	"1,987,490"	"2,109,240"	"2,106,690"	"2,014,580"	"1,511,590"	"2,158,760"	"2,523,240"	"3,019,180"	"3,548,000"	"2,836,290"	"2,731,560"	"1,921,630"	"2,111,120"	"2,098,160"	"2,278,420"	"2,146,550"	"1,609,610"	"2,296,480"	"2,687,180"	"3,479,390"	"4,001,680"	"3,199,070"	"2,836,240"	"2,100,760"	"2,236,940"	"2,341,600"	"2,415,450"	"2,322,660"	"1,645,060"	"2,527,300"	"2,606,660"	"3,308,490"	"3,633,000"	"2,993,090"	"2,725,630"	"2,130,200"	"2,329,930"	"2,393,470"	"2,600,850"	"2,344,590"	"1,765,940"	"2,585,220"	"2,755,130"	"3,480,910"	"3,772,580"	"3,161,160"	"2,992,960"	"2,183,590"	"2,554,670"	"2,724,880"	"2,850,160"	"2,461,730"	"1,967,450"	"2,580,950"	"2,848,940"	"3,479,170"	"3,723,560"	"3,179,770"	"2,918,530"	"2,174,530"	"2,644,810"	"2,747,700"	"2,781,780"	"2,516,680"	"2,064,700"	"2,694,760"	"2,948,210"	"3,630,950"	"3,890,050"	"3,240,960"
ê¬êXåß	"326,290"	"337,730"	"235,520"	"267,160"	"371,940"	"388,250"	"478,570"	"591,000"	"449,670"	"430,160"	"318,600"	"287,050"	"250,120"	"266,950"	"276,430"	"274,140"	"408,730"	"403,040"	"428,330"	"567,640"	"444,900"	"496,330"	"392,280"	"337,570"	"278,770"	"274,550"	"288,890"	"321,820"	"452,380"	"409,840"	"456,390"	"577,860"	"453,150"	"502,430"	"398,860"	"344,810"	"277,230"	"262,240"	"284,030"	"305,570"	"419,180"	"388,040"	"444,250"	"543,790"	"458,170"	"490,230"	"348,510"	"290,020"	"287,490"	"295,480"	"314,860"	"334,630"	"452,100"	"408,530"	"487,990"	"599,420"	"518,900"	"548,970"	"413,870"	"344,240"	"312,390"	"341,410"	"346,700"	"370,910"	"443,470"	"433,360"	"506,760"	"617,240"	"454,630"	"500,610"	"368,740"	"310,210"	"261,030"	"275,950"	"287,950"	"394,130"	"440,550"	"390,320"	"436,930"	"523,310"	"435,290"
ä‚éËåß	"426,960"	"434,670"	"293,280"	"501,200"	"614,800"	"556,770"	"637,340"	"793,580"	"563,920"	"547,400"	"485,150"	"451,030"	"489,940"	"491,170"	"546,390"	"441,170"	"582,630"	"560,090"	"560,440"	"729,380"	"531,010"	"605,110"	"520,400"	"459,530"	"408,360"	"412,720"	"442,020"	"387,850"	"461,870"	"434,590"	"489,950"	"666,250"	"477,540"	"516,350"	"469,830"	"423,390"	"451,260"	"435,350"	"476,230"	"392,860"	"499,610"	"434,570"	"506,190"	"678,130"	"524,840"	"569,540"	"478,330"	"442,080"	"457,600"	"428,220"	"465,380"	"432,500"	"531,290"	"471,430"	"535,560"	"684,030"	"556,930"	"619,590"	"518,210"	"455,530"	"492,670"	"483,410"	"492,520"	"452,070"	"508,680"	"494,780"	"520,740"	"654,070"	"548,480"	"676,620"	"474,270"	"443,130"	"435,840"	"415,620"	"473,140"	"440,760"	"512,910"	"483,380"	"511,990"	"650,430"	"527,210"
ã{èÈåß	"614,400"	"652,860"	"468,240"	"761,120"	"956,020"	"886,690"	"913,210"	"986,480"	"863,460"	"921,640"	"889,680"	"874,790"	"730,140"	"758,250"	"882,880"	"753,630"	"792,770"	"795,690"	"843,200"	"1,014,870"	"860,690"	"895,860"	"894,470"	"820,110"	"865,260"	"920,090"	"1,115,510"	"861,520"	"907,970"	"879,690"	"879,300"	"1,116,480"	"934,060"	"975,510"	"973,510"	"906,090"	"716,050"	"697,680"	"869,980"	"761,330"	"833,220"	"824,600"	"920,450"	"1,118,000"	"921,950"	"894,480"	"891,600"	"810,440"	"733,490"	"727,350"	"886,640"	"779,300"	"899,620"	"864,950"	"973,970"	"1,129,900"	"1,003,090"	"998,180"	"941,420"	"882,780"	"710,840"	"733,430"	"860,360"	"784,160"	"794,170"	"791,380"	"842,020"	"992,560"	"805,580"	"879,330"	"800,120"	"771,140"	"663,870"	"683,730"	"757,510"	"739,800"	"763,110"	"750,900"	"743,840"	"971,880"	"742,960"
èHìcåß	"209,490"	"237,660"	"147,890"	"169,060"	"287,090"	"299,560"	"413,950"	"572,630"	"392,780"	"463,660"	"293,900"	"233,460"	"199,630"	"196,370"	"237,400"	"238,990"	"345,700"	"334,240"	"296,270"	"423,490"	"302,810"	"386,380"	"293,530"	"205,710"	"205,680"	"209,100"	"229,200"	"236,530"	"324,050"	"315,640"	"330,880"	"444,530"	"327,940"	"359,370"	"284,340"	"225,840"	"226,180"	"213,990"	"247,170"	"252,500"	"360,310"	"353,830"	"347,080"	"443,450"	"350,350"	"411,490"	"313,160"	"241,900"	"206,700"	"211,420"	"219,750"	"227,720"	"340,860"	"287,040"	"340,790"	"424,700"	"335,680"	"383,290"	"269,980"	"209,310"	"201,960"	"203,080"	"243,210"	"249,880"	"312,380"	"309,230"	"319,030"	"401,510"	"320,070"	"361,180"	"264,630"	"213,730"	"185,190"	"187,330"	"214,850"	"223,060"	"310,130"	"289,660"	"282,700"	"361,630"	"318,340"
éRå`åß	"382,080"	"438,820"	"342,970"	"322,770"	"414,170"	"444,430"	"531,260"	"676,690"	"479,810"	"531,040"	"445,360"	"420,980"	"380,880"	"410,040"	"440,490"	"353,320"	"425,410"	"486,200"	"538,430"	"653,200"	"469,180"	"537,220"	"454,260"	"410,940"	"348,760"	"390,410"	"400,500"	"351,570"	"448,020"	"471,320"	"511,530"	"690,240"	"455,850"	"505,480"	"433,990"	"423,030"	"412,490"	"453,510"	"468,420"	"328,380"	"437,740"	"488,480"	"549,460"	"744,690"	"557,370"	"580,630"	"459,810"	"417,550"	"429,890"	"453,030"	"484,210"	"378,220"	"490,400"	"454,400"	"544,180"	"707,640"	"550,400"	"577,980"	"474,040"	"428,890"	"393,130"	"439,170"	"433,250"	"368,260"	"434,490"	"447,440"	"483,640"	"606,530"	"478,800"	"542,310"	"423,160"	"393,610"	"372,080"	"427,630"	"433,050"	"374,740"	"427,840"	"436,270"	"497,120"	"601,220"	"447,810"
ïüìáåß	"771,950"	"777,150"	"530,940"	"809,510"	"1,144,790"	"1,097,760"	"1,149,980"	"1,119,190"	"859,080"	"869,660"	"828,960"	"839,690"	"787,130"	"794,250"	"860,660"	"807,190"	"896,770"	"948,580"	"882,420"	"1,097,980"	"873,670"	"971,690"	"890,830"	"774,750"	"733,970"	"712,390"	"796,780"	"764,620"	"820,800"	"834,060"	"1,040,910"	"1,348,460"	"1,044,430"	"942,330"	"903,780"	"805,800"	"762,040"	"707,310"	"825,130"	"770,150"	"861,950"	"873,230"	"1,009,930"	"1,325,520"	"975,290"	"1,076,290"	"986,100"	"887,880"	"858,360"	"812,110"	"906,350"	"832,270"	"933,630"	"890,860"	"1,009,720"	"1,265,760"	"1,035,630"	"1,071,150"	"988,870"	"868,700"	"784,470"	"781,960"	"828,640"	"786,570"	"791,350"	"808,250"	"864,770"	"1,121,100"	"841,390"	"926,430"	"850,090"	"813,800"	"832,010"	"827,740"	"816,050"	"750,810"	"787,750"	"806,900"	"958,480"	"1,151,310"	"891,820"
àÔèÈåß	"336,940"	"343,960"	"247,290"	"351,290"	"375,260"	"360,790"	"370,510"	"499,430"	"350,820"	"390,220"	"394,280"	"430,160"	"332,950"	"362,250"	"470,170"	"408,630"	"439,770"	"403,740"	"422,910"	"589,290"	"374,660"	"407,820"	"448,510"	"436,380"	"339,040"	"357,240"	"471,180"	"397,370"	"427,890"	"362,640"	"426,530"	"610,870"	"415,490"	"428,310"	"457,290"	"460,320"	"387,250"	"390,510"	"557,410"	"385,300"	"481,450"	"422,770"	"485,360"	"642,500"	"402,830"	"425,090"	"446,320"	"435,990"	"383,330"	"391,170"	"518,350"	"402,060"	"466,930"	"411,090"	"515,050"	"715,230"	"479,050"	"475,370"	"480,220"	"503,080"	"385,570"	"389,810"	"528,310"	"445,830"	"461,360"	"412,670"	"494,200"	"641,590"	"433,250"	"460,680"	"475,330"	"479,870"	"392,650"	"401,340"	"543,530"	"446,760"	"478,220"	"394,280"	"504,120"	"646,580"	"431,330"
ì»ñÿåß	"625,310"	"596,190"	"447,830"	"422,420"	"696,270"	"635,090"	"821,560"	"1,219,890"	"792,040"	"937,650"	"829,340"	"672,320"	"565,160"	"506,740"	"681,040"	"650,560"	"849,750"	"754,550"	"877,480"	"1,319,680"	"871,560"	"1,006,060"	"937,540"	"742,090"	"623,610"	"581,040"	"777,110"	"708,870"	"861,330"	"788,190"	"824,590"	"1,195,820"	"800,720"	"918,920"	"914,220"	"722,720"	"627,970"	"530,510"	"794,790"	"612,990"	"815,560"	"729,840"	"874,700"	"1,248,110"	"846,500"	"922,860"	"884,030"	"694,490"	"661,230"	"593,150"	"807,720"	"724,450"	"902,070"	"745,960"	"964,540"	"1,349,600"	"935,420"	"1,004,090"	"860,620"	"740,000"	"627,390"	"571,410"	"875,250"	"737,370"	"876,400"	"769,030"	"945,410"	"1,355,600"	"922,750"	"995,600"	"876,610"	"764,010"	"668,200"	"618,310"	"891,730"	"750,830"	"902,640"	"735,620"	"947,170"	"1,208,380"	"860,580"
åQînåß	"725,740"	"730,930"	"474,500"	"439,560"	"667,920"	"629,940"	"832,610"	"1,244,630"	"813,610"	"830,420"	"715,240"	"643,580"	"614,990"	"548,920"	"659,060"	"571,490"	"645,560"	"586,450"	"739,560"	"1,148,380"	"700,560"	"760,460"	"737,860"	"672,080"	"666,770"	"655,420"	"759,240"	"653,680"	"742,980"	"661,170"	"787,120"	"1,162,180"	"752,280"	"788,250"	"790,670"	"718,750"	"628,040"	"533,860"	"733,990"	"602,970"	"734,850"	"630,950"	"696,100"	"1,095,090"	"694,520"	"769,840"	"781,440"	"691,720"	"673,900"	"634,020"	"725,440"	"576,060"	"730,970"	"615,930"	"737,320"	"1,078,110"	"752,320"	"852,680"	"766,980"	"684,370"	"668,650"	"652,820"	"738,930"	"614,190"	"695,800"	"594,110"	"737,250"	"1,061,120"	"706,880"	"773,720"	"687,040"	"720,660"	"649,790"	"613,740"	"783,200"	"606,080"	"769,040"	"607,320"	"704,970"	"1,103,960"	"797,080"
