ìsìπï{åß	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81
ñkäCìπ	"229,950"	"319,980"	"68,260"	"9,640"	"38,180"	"90,770"	"151,130"	"149,410"	"97,070"	"130,610"	"95,200"	"203,550"	"255,710"	"213,060"	"99,630"	"80,990"	"125,950"	"141,340"	"247,950"	"213,340"	"114,840"	"162,810"	"107,490"	"248,960"	"206,270"	"319,580"	"168,030"	"103,760"	"179,110"	"225,220"	"431,720"	"365,240"	"250,490"	"273,620"	"187,920"	"358,800"	"359,290"	"465,920"	"236,650"	"167,750"	"250,780"	"242,320"	"516,290"	"361,640"	"244,700"	"322,030"	"239,880"	"483,360"	"460,450"	"673,450"	"372,210"	"285,760"	"394,770"	"383,760"	"666,720"	"559,670"	"355,600"	"463,180"	"326,680"	"698,900"	"771,030"	"865,140"	"449,100"	"329,520"	"416,400"	"447,330"	"712,110"	"554,160"	"379,830"	"477,320"	"336,480"	"815,800"	"889,940"	"903,620"	"476,290"	"385,660"	"497,700"	"510,120"	"788,710"	"627,950"	"435,530"
ê¬êXåß	"6,880"	"7,280"	"2,020"	450	830	"1,170"	"2,000"	"2,470"	"3,050"	"3,680"	"2,240"	"1,660"	"2,760"	"3,610"	"3,150"	"2,960"	"3,690"	"3,880"	"3,840"	"4,620"	"3,300"	"5,920"	"2,820"	"1,880"	"3,950"	"4,880"	"3,600"	"5,910"	"5,890"	"7,000"	"4,740"	"5,210"	"4,150"	"8,770"	"4,680"	"3,710"	"4,380"	"4,440"	"3,460"	"6,920"	"5,840"	"6,510"	"6,100"	"5,600"	"4,720"	"14,500"	"7,300"	"4,250"	"5,980"	"7,050"	"5,090"	"13,130"	"14,670"	"5,180"	"7,680"	"9,710"	"6,790"	"24,080"	"12,050"	"7,600"	"8,660"	"9,630"	"6,710"	"17,320"	"10,520"	"8,950"	"16,190"	"14,570"	"12,480"	"31,500"	"16,930"	"6,730"	"11,610"	"20,020"	"9,320"	"28,960"	"17,540"	"16,220"	"23,130"	"20,580"	"17,240"
ä‚éËåß	"7,760"	"9,540"	"2,200"	830	640	810	"1,050"	"1,090"	"1,630"	"2,530"	"3,280"	"1,990"	"3,250"	"3,320"	"3,770"	"3,830"	"3,310"	"2,250"	"2,660"	"2,580"	"3,450"	"7,970"	"6,020"	"3,600"	"5,180"	"5,620"	"4,830"	"8,250"	"4,080"	"3,800"	"3,480"	"4,410"	"3,340"	"13,700"	"4,980"	"3,670"	"7,770"	"6,040"	"2,950"	"9,360"	"5,420"	"3,460"	"3,900"	"5,160"	"6,330"	"14,780"	"8,070"	"3,900"	"7,960"	"8,550"	"5,430"	"13,750"	"6,670"	"7,310"	"5,760"	"7,230"	"5,160"	"22,960"	"11,740"	"3,830"	"9,530"	"10,060"	"4,760"	"17,510"	"6,970"	"4,880"	"7,410"	"9,460"	"8,190"	"27,940"	"16,190"	"9,130"	"11,390"	"16,820"	"7,820"	"22,110"	"8,170"	"9,780"	"10,810"	"10,740"	"10,840"
ã{èÈåß	"7,580"	"9,830"	"3,800"	"1,120"	"2,650"	"2,080"	"3,280"	"4,580"	"3,590"	"4,800"	"6,550"	"3,640"	"4,660"	"6,380"	"7,130"	"6,960"	"6,860"	"5,500"	"7,640"	"8,240"	"7,260"	"10,050"	"13,140"	"6,510"	"5,430"	"7,770"	"9,420"	"11,310"	"9,510"	"6,120"	"9,270"	"10,600"	"7,580"	"14,270"	"8,950"	"6,380"	"5,700"	"6,400"	"5,850"	"11,390"	"8,240"	"9,370"	"11,560"	"9,180"	"7,690"	"19,520"	"14,170"	"8,100"	"8,410"	"8,810"	"21,500"	"17,660"	"12,560"	"13,850"	"20,540"	"15,250"	"13,350"	"27,970"	"19,070"	"11,650"	"12,310"	"12,340"	"14,590"	"21,830"	"13,220"	"12,630"	"17,450"	"16,140"	"14,530"	"31,160"	"19,240"	"13,860"	"16,970"	"17,850"	"12,410"	"24,520"	"15,460"	"14,170"	"16,750"	"14,550"	"18,580"
èHìcåß	"4,740"	"5,990"	"1,640"	350	540	"2,290"	"1,330"	"1,380"	"1,940"	"3,740"	"2,350"	940	"1,590"	"2,340"	"1,890"	"2,490"	"1,920"	"1,980"	"3,250"	"1,450"	"1,780"	"4,860"	"2,580"	"1,450"	"3,180"	"3,600"	"2,240"	"3,070"	"2,430"	"3,570"	"3,610"	"2,510"	"2,410"	"4,830"	"2,880"	"1,810"	"1,920"	"2,490"	"1,910"	"2,900"	"2,660"	"1,910"	"6,000"	"4,730"	"3,490"	"7,110"	"4,020"	"2,340"	"3,790"	"3,880"	"2,980"	"6,870"	"4,060"	"3,250"	"4,570"	"5,540"	"4,350"	"12,690"	"5,540"	"2,290"	"2,740"	"4,320"	"2,860"	"6,900"	"3,870"	"4,360"	"5,080"	"6,300"	"4,600"	"13,790"	"8,550"	"3,590"	"6,140"	"10,200"	"5,140"	"11,920"	"5,500"	"4,120"	"5,570"	"5,860"	"4,630"
éRå`åß	"10,480"	"11,160"	"2,660"	550	860	810	"1,020"	"1,730"	"1,710"	"1,620"	"1,150"	960	"3,020"	"2,590"	"1,900"	"1,680"	"2,160"	"1,590"	"1,710"	"3,200"	"5,300"	"3,700"	"2,750"	"2,560"	"3,600"	"4,760"	"3,010"	"2,930"	"2,160"	"1,450"	"2,270"	"3,360"	"2,530"	"5,640"	"2,650"	"3,050"	"5,900"	"5,480"	"4,070"	"3,460"	"2,670"	"6,040"	"2,740"	"3,710"	"2,130"	"5,160"	"3,300"	"3,550"	"8,480"	"12,270"	"6,070"	"6,150"	"3,630"	"3,930"	"2,720"	"7,240"	"3,390"	"9,200"	"5,530"	"7,120"	"12,330"	"15,600"	"5,720"	"6,600"	"3,850"	"3,620"	"4,250"	"3,780"	"4,740"	"11,010"	"6,380"	"10,310"	"14,810"	"19,930"	"7,870"	"12,100"	"5,270"	"5,640"	"5,790"	"4,360"	"5,720"
ïüìáåß	"6,780"	"5,220"	"1,370"	"1,030"	"1,400"	"2,050"	"1,620"	960	"1,800"	"1,880"	"2,230"	"1,200"	"1,220"	"2,750"	"2,040"	"1,780"	"2,100"	"2,530"	"2,830"	"3,700"	"3,870"	"4,760"	"4,840"	"4,830"	"2,870"	"3,960"	"7,320"	"2,700"	"4,040"	"4,350"	"2,530"	"2,500"	"2,660"	"3,690"	"2,740"	"2,470"	"2,580"	"3,530"	"3,370"	"2,820"	"4,460"	"2,890"	"2,750"	"4,840"	"4,220"	"4,180"	"5,380"	"3,010"	"2,700"	"3,090"	"3,030"	"4,460"	"4,070"	"5,060"	"4,590"	"3,880"	"5,180"	"9,270"	"7,500"	"3,580"	"4,990"	"5,350"	"6,830"	"7,920"	"5,970"	"5,550"	"7,220"	"5,930"	"3,910"	"11,900"	"7,650"	"5,650"	"9,610"	"10,750"	"11,680"	"12,480"	"6,600"	"5,620"	"6,950"	"7,420"	"8,130"
àÔèÈåß	"6,850"	"5,700"	"3,900"	"1,830"	"2,430"	"15,100"	"9,620"	"6,440"	"10,640"	"9,240"	"9,250"	"7,190"	"6,200"	"8,070"	"6,180"	"7,260"	"7,480"	"7,130"	"7,790"	"7,240"	"7,600"	"8,130"	"10,620"	"5,340"	"5,700"	"4,990"	"6,480"	"5,180"	"5,460"	"6,170"	"8,280"	"6,030"	"6,390"	"13,460"	"11,640"	"8,720"	"5,150"	"6,230"	"9,250"	"6,960"	"6,830"	"7,900"	"7,930"	"8,180"	"7,970"	"11,000"	"9,940"	"6,740"	"9,130"	"10,670"	"17,810"	"26,990"	"19,560"	"14,780"	"19,290"	"21,400"	"14,000"	"16,340"	"17,990"	"12,770"	"13,380"	"15,190"	"31,040"	"32,630"	"20,350"	"14,520"	"22,990"	"17,210"	"14,000"	"19,280"	"15,820"	"8,230"	"9,400"	"8,930"	"12,160"	"18,770"	"13,780"	"10,270"	"32,580"	"16,950"	"15,760"
ì»ñÿåß	"8,260"	"7,840"	"3,000"	"2,050"	"2,800"	"3,050"	"6,520"	"5,250"	"9,330"	"10,020"	"12,730"	"6,440"	"4,820"	"5,380"	"7,850"	"8,280"	"8,050"	"9,140"	"9,830"	"8,370"	"10,420"	"13,820"	"13,000"	"7,950"	"9,490"	"10,240"	"13,920"	"20,700"	"18,740"	"16,930"	"16,530"	"14,800"	"13,150"	"19,730"	"15,100"	"9,640"	"9,030"	"9,170"	"11,910"	"12,820"	"12,170"	"13,790"	"11,410"	"11,280"	"11,430"	"24,730"	"19,790"	"11,890"	"9,820"	"12,490"	"14,740"	"26,690"	"21,400"	"14,540"	"22,200"	"11,730"	"17,920"	"36,090"	"27,420"	"16,500"	"14,110"	"18,260"	"22,420"	"29,530"	"24,410"	"19,760"	"17,010"	"15,180"	"18,430"	"34,110"	"23,900"	"15,330"	"17,010"	"14,940"	"17,770"	"30,920"	"22,260"	"12,120"	"20,440"	"16,810"	"15,220"
åQînåß	"5,330"	"7,530"	"2,660"	"1,160"	"1,930"	"2,800"	"3,060"	"4,090"	"4,720"	"5,740"	"5,080"	"4,650"	"5,990"	"4,590"	"4,500"	"5,900"	"6,710"	"6,050"	"5,420"	"4,970"	"6,810"	"6,000"	"6,510"	"5,800"	"9,880"	"12,320"	"13,910"	"9,800"	"8,450"	"6,150"	"6,200"	"8,100"	"8,090"	"7,890"	"10,760"	"7,380"	"6,960"	"7,440"	"6,590"	"11,460"	"11,330"	"9,100"	"6,910"	"8,880"	"7,850"	"12,180"	"13,240"	"10,340"	"9,170"	"10,730"	"11,190"	"21,210"	"18,690"	"11,140"	"12,120"	"9,210"	"7,460"	"17,040"	"18,090"	"14,290"	"15,150"	"17,570"	"15,930"	"26,300"	"21,530"	"14,350"	"12,380"	"13,580"	"18,600"	"21,820"	"19,730"	"17,410"	"23,820"	"22,000"	"19,270"	"42,700"	"35,130"	"14,120"	"15,350"	"18,320"	"20,400"
