name,address,lat,lng,wifi,allHours,drive,hundred,morning,barista,birthday,playRand,adventure,parking
白石南郷通店,北海道札幌市白石区南郷通２丁目南１０－１５,43.0446098617,141.400065559,1,0,1,1,1,0,1,0,1,1
オーロラタウン店,北海道札幌市中央区大通西１丁目地下街オーロラタウン,43.0610008653,141.355638957,1,0,0,0,1,0,0,0,0,0
北５西２０店,北海道札幌市中央区北五条西２０丁目１－１,43.0635659529,141.325258838,0,0,1,1,1,0,0,0,0,1
平岸店,北海道札幌市豊平区平岸二条１０丁目３－１２,43.0306296872,141.368123528,1,1,1,1,1,0,1,0,1,1
南新川店,北海道札幌市北区北二十三条西１４丁目６－１,43.0876603306,141.327923798,1,0,1,1,1,0,0,1,0,1
帯広柏林台店,北海道帯広市西１８条南３－２７－３６,42.9185158793,143.159844389,0,0,1,0,1,0,0,0,0,1
札幌南二条店,北海道札幌市中央区南二条西２丁目１,43.058095667,141.355760232,1,0,0,1,1,0,0,0,1,0
イオン釧路店,北海道釧路郡釧路町桂木１－１－１,43.0087576776,144.405399765,1,0,0,0,0,0,0,0,0,1
福住イトーヨーカドー店,北海道札幌市豊平区福住二条１丁目,43.0201293462,141.403740313,0,0,0,1,0,0,0,0,0,1
イオン千歳店,北海道千歳市栄町６－５１,42.8284944904,141.648937057,0,0,0,0,0,0,0,0,0,1
イオン室蘭店,北海道室蘭市東町２－４－３２,42.3451212448,141.026540064,0,0,0,0,0,0,0,0,0,1
札幌すすきの店,北海道札幌市中央区南四条西４丁目１６,43.0559152854,141.352959513,1,1,0,1,1,0,0,0,0,0
手稲西友店,北海道札幌市手稲区前田一条１１丁目,43.120617524,141.245451672,0,0,0,0,1,0,0,0,0,1
苫小牧パセオ店,北海道苫小牧市川沿町６－１６－６,42.6228707304,141.528197407,0,0,1,0,1,0,0,0,0,1
星が浦ぴあざフクハラ店,北海道釧路市星が浦大通２－６,43.014342485,144.323595016,0,0,0,0,0,0,0,0,0,1
釧路春日フクハラ店,北海道釧路市春日町６－１,42.9962664545,144.375324361,0,0,0,0,0,0,0,0,0,1
苫小牧ステイ店,北海道苫小牧市三光町５－６,42.6546194037,141.614111799,0,0,0,0,0,0,0,0,0,1
上磯トライアル店,北海道北斗市七重浜７－１４－１,41.8207885724,140.697305664,0,0,0,0,0,0,0,0,0,1
花川ビッグハウス店,北海道石狩市樽川六条１丁目５,43.1492235853,141.282671481,0,0,0,0,0,0,0,0,0,1
札幌新発寒店,北海道札幌市手稲区新発寒五条５丁目,43.1147624022,141.271028264,0,0,1,0,1,0,0,0,0,1
２４１音更店,北海道河東郡音更町木野大通西１７－１－４,42.9707759213,143.207223488,0,0,1,0,1,0,1,0,1,1
北４９条店,北海道札幌市東区北四十九条東８丁目３－１７,43.1216278942,141.354422891,1,0,1,0,1,0,0,0,0,1
旭川ツインハープ店,北海道旭川市旭神町三条５丁目１－１２,43.7336275215,142.390823122,1,0,1,0,1,0,0,0,0,1
イオン江別店,北海道江別市幸町３５,43.0973203102,141.533411132,0,0,0,0,0,0,0,0,0,1
西岡出光ＳＳ店,北海道札幌市豊平区西岡一条２丁目,43.0214340906,141.383710698,0,0,1,0,1,0,0,0,0,1
函館鍛治店,北海道函館市鍛治２－３９,41.811079158,140.767354243,0,0,1,0,1,0,0,0,0,1
神楽生協店,北海道旭川市神楽四条５丁目,43.7604436406,142.348038687,0,0,0,0,0,0,0,0,0,1
湯川生協店,北海道函館市湯川町１－３４－１５,41.7816287099,140.781747354,0,0,0,0,0,0,0,0,0,1
西岡生協店,北海道札幌市南区澄川六条４丁目２－１,43.0118349468,141.374174105,0,0,0,0,0,0,0,0,0,1
札幌平岡店,北海道札幌市厚別区上野幌三条２丁目１－７,43.0122574484,141.469531651,0,0,1,0,1,0,0,0,0,1
帯広イトーヨーカドー店,北海道帯広市稲田町南８線西１０－１,42.8903128089,143.198580163,0,0,0,1,0,0,0,0,0,1
白石ルーシー店,北海道札幌市白石区栄通１８丁目５－３５,43.0281235231,141.433854544,0,0,0,0,0,0,0,0,0,1
イオン小樽店,北海道小樽市築港１１－６,43.1844677849,141.0224716,1,0,0,0,0,0,0,0,0,1
宮の沢ターミナルビル店,北海道札幌市西区宮の沢１条１－１７－１４,43.0891162451,141.276117679,0,0,0,0,0,0,0,0,0,1
３８号富良野店,北海道富良野市新富町２－５,43.3447778079,142.381143773,0,0,1,0,1,0,0,0,0,1
札幌アピア店,北海道札幌市中央区北五条西３丁目,43.0676218731,141.351606707,1,0,0,0,1,0,0,0,0,0
札幌月寒ゼビオ店,北海道札幌市豊平区月寒東三条１１丁目１－１０,43.0275644337,141.40858497,0,0,1,0,0,0,0,0,0,1
３６号里塚店,北海道札幌市清田区里塚二条７丁目１－５,42.9782910198,141.46956065,0,0,1,0,1,0,0,0,0,1
屯田イトーヨーカドー店,北海道札幌市北区屯田八条３丁目５－１,43.140021593,141.340584167,0,0,0,1,0,0,0,0,0,1
札幌インター店,北海道札幌市白石区菊水元町七条１丁目１０－２２,43.0733314047,141.409665151,0,1,1,0,1,0,0,0,0,1
あいの里生協店,北海道札幌市北区あいの里一条５丁目２,43.1573649937,141.398818267,0,0,0,0,0,0,0,0,0,1
札幌ヨドバシカメラ店,北海道札幌市北区北六条西５丁目１－２２,43.068357195,141.347179572,1,0,0,1,1,0,0,0,0,0
３９号北見店,北海道北見市西富町１－１－６,43.7990121817,143.869887231,1,1,1,0,1,0,0,0,1,1
イオン北見店,北海道北見市北進町１－１－１,43.8082262586,143.875356952,1,0,0,1,0,0,0,0,0,1
３６号千歳店,北海道千歳市錦町３－１０－１,42.8231288426,141.643220406,1,0,1,0,1,0,0,0,0,1
イオンモール札幌平岡店,北海道札幌市清田区平岡三条５丁目３－１,42.9961442932,141.457562067,1,0,0,1,0,0,0,0,0,1
厚別西友店,北海道札幌市厚別区厚別西四条６丁目７００－１２６,43.0539942937,141.468693919,0,0,0,1,0,0,0,0,0,1
イオン釧路フードコート店,北海道釧路郡釧路町桂木１－１－１,43.0092939479,144.403841535,1,0,0,1,0,0,0,0,0,1
イオン札幌麻生店,北海道札幌市北区北三十九条西４丁目１－５,43.1070461267,141.339503215,0,0,0,0,1,0,0,0,0,1
３８号札内店,北海道中川郡幕別町札内共栄町１６４－１,42.9188558691,143.242542459,1,0,1,0,1,0,0,0,1,1
